"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"log10_Adjusted"	"ONTOLOGY"
"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX"	"GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX"	"COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX"	"74/1158"	"427/14332"	2.2044516851744e-10	6.21655375219181e-09	4.07243442892745e-09	"NCAM1/APOE/TGFBI/MATN2/FBN1/COL6A2/COL1A2/FN1/NID1/GPC1/COL6A1/FMOD/CALR/BGN/COL6A6/SFRP1/WNT5A/GPC3/COL21A1/COL6A3/CDH2/COL12A1/LAMB1/MFGE8/CTSD/AGRN/LAMA5/GPC4/PLAT/COL1A1/COL2A1/COL3A1/COL4A1/ANXA1/COL5A2/DCN/ANXA6/COL4A2/LGALS1/CLU/LAMC1/PKM/HSP90B1/COL5A1/TNC/LAMA1/FBN2/COL18A1/SERPINH1/BCAM/LUM/PRELP/MFAP2/LAMB2/HSPG2/COL14A1/COL16A1/NID2/POSTN/IGFBP7/LMAN1/VCAN/FREM1/FREM2/ASPN/THSD4/CSTB/OGN/AEBP1/HTRA1/COL26A1/TINAGL1/EMILIN3/EMILIN1"	74	8.39014589962455	"CC"
"GOCC_POLYSOME"	"GOCC_POLYSOME"	"POLYSOME"	"23/1158"	"65/14332"	5.00298355668775e-10	1.343658440939e-08	8.80224174635288e-09	"PSMA6/CALR/LARP1/MSI2/RPL24/RPL32/RPL30/RPL19/MSI1/EEF2/PSMA1/MYH10/RPL7A/RPL10A/HDLBP/EIF4G1/EIF2S1/RPS21/LIN28A/UPF2/AGO1/DRG1/RPL36"	23	8.0554067080674	"CC"
"GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX"	"GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX"	"EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX"	"11/1158"	"15/14332"	9.22926399852182e-10	2.36604767962105e-08	1.54998644185701e-08	"COPS5/EIF3F/EIF3L/EIF3C/EIF3B/EIF3D/EIF3E/EIF3I/EIF3M/EIF3A/EIF3K"	11	7.80967210070225	"CC"
"GOCC_PRERIBOSOME"	"GOCC_PRERIBOSOME"	"PRERIBOSOME"	"25/1158"	"78/14332"	9.85446806034087e-10	2.4164869504488e-08	1.58302896529961e-08	"RPS7/PDCD11/FBLL1/RRP15/NOP14/UTP18/BOP1/RRP1/PES1/FCF1/IMP4/NOP56/RRP9/RSL1D1/XRCC5/EIF6/PRKDC/WDR3/EBNA1BP2/FTSJ3/FBL/MAK16/RPF1/UTP3/NOP58"	25	7.80051113860909	"CC"
"GOCC_ENDOPLASMIC_RETICULUM_LUMEN"	"GOCC_ENDOPLASMIC_RETICULUM_LUMEN"	"ENDOPLASMIC_RETICULUM_LUMEN"	"58/1158"	"310/14332"	1.09204616439558e-09	2.56630848632961e-08	1.68117633203003e-08	"TMEM43/APOE/SUMF2/FBN1/COL6A2/COL1A2/FN1/PDIA6/COL6A1/CALR/MEN1/UGGT1/CALU/WNT5A/GPC3/COL21A1/COL6A3/CDH2/COL12A1/LAMB1/MFGE8/PRKCSH/HYOU1/COL1A1/COL2A1/COL3A1/COL4A1/WNT1/COL5A2/P4HB/COL4A2/LGALS1/CLU/LAMC1/P4HA1/HSP90B1/COL5A1/TNC/CANX/PDIA3/COL18A1/SERPINH1/LAMB2/COL14A1/CKAP4/COL16A1/RCN2/GANAB/IGFBP7/MAPK1/VCAN/KTN1/COLGALT1/GPX8/COL26A1/FKBP10/ERLEC1/ESD"	58	7.77438673271675	"CC"
"GOCC_VESICLE_LUMEN"	"GOCC_VESICLE_LUMEN"	"VESICLE_LUMEN"	"60/1158"	"327/14332"	1.23670732431757e-09	2.79001172366044e-08	1.82772324562302e-08	"ALDOC/ACTN4/JUP/PSMD12/PSMD14/DDX3X/FN1/PSMA2/IMPDH2/PA2G4/CAND1/IDH1/KPNB1/PSMD7/CAP1/PSMC2/HSPA8/APRT/GCA/CTSD/MIF/OLA1/CNN2/PSMD11/CYB5R3/ALDOA/TUBB/HSP90AB1/CLU/XRCC6/XRCC5/EEF2/PKM/SRP14/ACTR1B/VCP/CSNK2B/PSMD2/COTL1/DYNC1H1/PSMD6/MAPK1/PSMB1/EEF1A1/CCT8/HMGB1/PSMA5/TOLLIP/PGAM1/CSTB/CYFIP1/HUWE1/NHLRC2/FAF2/PSMD3/PSMD1/VAT1/DBNL/PSMD13/PSMC3"	60	7.73808956461867	"CC"
"GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX"	"GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX"	"ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX"	"32/1158"	"125/14332"	2.82351706168738e-09	6.12486008766032e-08	4.01236635081891e-08	"OSTC/DDOST/HM13/PDIA6/KRTCAP2/CALR/ZW10/RPN2/SPCS2/HSD17B12/UBXN1/DAD1/SEC11A/PRKCSH/HYOU1/P4HB/P4HA1/HSP90B1/PDIA3/STT3A/SRP9/SSR4/VCP/SEC61B/SPCS3/FKBP1A/MLEC/GANAB/SRPRB/RPN1/STT3B/FAF2"	32	7.39659942039854	"CC"
"GOCC_PROTEASOME_CORE_COMPLEX"	"GOCC_PROTEASOME_CORE_COMPLEX"	"PROTEASOME_CORE_COMPLEX"	"12/1158"	"20/14332"	5.0122139744576e-09	1.03218929085038e-07	6.76182234207696e-08	"PSMB3/PSMA6/PSMA2/PSMA4/PSMA1/PSMB4/PSMB5/PSMA7/PSMB1/PSMF1/PSMA5/PSMA3"	12	7.16993624393245	"CC"
"GOCC_CYTOSOLIC_RIBOSOME"	"GOCC_CYTOSOLIC_RIBOSOME"	"CYTOSOLIC_RIBOSOME"	"28/1158"	"102/14332"	5.12434399712955e-09	1.03218929085038e-07	6.76182234207696e-08	"RPL17/RPS10/RPS7/RPL5/RPL14/RPS19/RPSA/RPL24/RPL32/RPL30/RPS17/RPL19/RPLP2/RPLP0/RPS12/RPL12/RPL4/RPS13/RPL7A/RPL10A/RPL39P5/RPS8/RPS27A/RPL21/RPS3A/RPL27A/RPS21/RPL36"	28	7.16993624393245	"CC"
"GOCC_U2_SNRNP"	"GOCC_U2_SNRNP"	"U2_SNRNP"	"13/1158"	"24/14332"	6.28934742875415e-09	1.22316963786805e-07	8.01292539924758e-08	"SF3A3/HTATSF1/SF3B1/SNRPB2/SNRPB/SNRPD1/SNRPD2/SF3B2/SF3B3/SF3A1/SNRPA1/PHF5A/SF3B6"	13	7.09620890054437	"CC"
"GOCC_NURD_COMPLEX"	"GOCC_NURD_COMPLEX"	"NURD_COMPLEX"	"10/1158"	"14/14332"	8.46404960751432e-09	1.59124132621269e-07	1.04241453060966e-07	"GATAD2B/MTA1/MBD3/RBBP4/CHD3/CHD4/CSNK2A1/HDAC1/GATAD2A/HDAC2"	10	6.98195954345855	"CC"
"GOCC_TRANSLATION_PREINITIATION_COMPLEX"	"GOCC_TRANSLATION_PREINITIATION_COMPLEX"	"TRANSLATION_PREINITIATION_COMPLEX"	"11/1158"	"18/14332"	1.71277488242196e-08	3.1161452699548e-07	2.04137176139256e-07	"EIF3F/EIF3L/EIF3C/EIF3B/EIF3D/EIF3E/EIF3I/EIF2S1/EIF3M/EIF3A/EIF3K"	11	6.69007789718544	"CC"
"GOCC_MICROTUBULE"	"GOCC_MICROTUBULE"	"MICROTUBULE"	"69/1158"	"435/14332"	3.85353384330818e-08	6.79185339883066e-07	4.44931045724069e-07	"CDK5/TPT1/DPYSL2/TUBB2B/TBCB/ARHGEF2/PAFAH1B1/KIF2A/MAP4/ODF2/PCNT/RCC2/CLIP2/ZW10/CALM3/BAG2/CCT3/MAP7/CCT4/MTA1/CEP57/DCXR/ZNF207/KATNAL2/BCAS3/DNM1L/DYNC1LI2/CLASP2/TUBB4A/TUBB/TCP1/KIF5B/ARL3/MAP2K2/MAP1B/CCT5/DNM2/TUBA1B/CLTC/HNRNPU/KLC1/GOLGA2/TUBB3/DCTN2/TUBB2A/CKAP5/DCTN1/DYNC1H1/NUMA1/MAPRE2/MAPRE1/TUBB8/TUBA1C/CCT8/CCT7/CUL3/SRPRB/CCT6A/CEP170/TUBA1A/CLASP1/EIF3A/NDRG1/HSPH1/TUBB6/TPPP3/RACGAP1/MAP1LC3A/DYNC1LI1"	69	6.35170728965263	"CC"
"GOCC_VESICLE_COAT"	"GOCC_VESICLE_COAT"	"VESICLE_COAT"	"18/1158"	"52/14332"	5.69582276583019e-08	9.73467890887341e-07	6.3771412784893e-07	"CLINT1/COPG2/ARCN1/SEC24C/SEC23A/COPB2/AP2S1/SEC31A/AP2A1/COPB1/COPA/AP2B1/CLTC/PDCD6/SAR1A/COPE/AP2M1/COPG1"	18	6.19537396159379	"CC"
"GOCC_CHROMOSOME_TELOMERIC_REGION"	"GOCC_CHROMOSOME_TELOMERIC_REGION"	"CHROMOSOME_TELOMERIC_REGION"	"35/1158"	"166/14332"	1.11661973523995e-07	1.85227509022156e-06	1.21341649247437e-06	"PTGES3/GATAD2B/LRWD1/MEN1/CBX3/MCM5/MCM7/MCM2/PARP1/SSB/POLR2B/KDM1A/XRCC6/XRCC5/MCM4/MSH2/PRKDC/RBBP4/CHD4/MCM6/MCM3/XRCC1/PCNA/FEN1/CDC73/WDR82/THOC6/SMC5/TFIP11/HDAC2/RAD50/THOC3/NAT10/GAR1/PPP1CC"	35	5.9159901065224	"CC"
"GOCC_HISTONE_DEACETYLASE_COMPLEX"	"GOCC_HISTONE_DEACETYLASE_COMPLEX"	"HISTONE_DEACETYLASE_COMPLEX"	"21/1158"	"72/14332"	1.34708859371161e-07	2.17073704815242e-06	1.42203938764744e-06	"GATAD2B/HINT1/SIN3A/RUVBL1/MTA1/KAT5/RCOR2/SAP18/MBD3/RBBP4/CHD3/CHD4/ANP32E/TRRAP/CSNK2A1/HDAC1/KDM3B/GATAD2A/HDAC2/TBL1XR1/RUVBL2"	21	5.84708837435095	"CC"
"GOCC_SMALL_SUBUNIT_PROCESSOME"	"GOCC_SMALL_SUBUNIT_PROCESSOME"	"SMALL_SUBUNIT_PROCESSOME"	"15/1158"	"39/14332"	1.46837725627823e-07	2.30045770150256e-06	1.5070187630224e-06	"RPS7/PDCD11/FBLL1/NOP14/UTP18/FCF1/IMP4/NOP56/RRP9/XRCC5/PRKDC/WDR3/FBL/UTP3/NOP58"	15	5.82188134050132	"CC"
"GOCC_U2_TYPE_CATALYTIC_STEP_2_SPLICEOSOME"	"GOCC_U2_TYPE_CATALYTIC_STEP_2_SPLICEOSOME"	"U2_TYPE_CATALYTIC_STEP_2_SPLICEOSOME"	"13/1158"	"30/14332"	1.90394937351893e-07	2.90223634233696e-06	1.90124105293071e-06	"CWC22/DHX8/PLRG1/AQR/SNRPB2/SNRPB/SNRPD1/SNRPD2/SNRPA1/CDC40/PRPF8/XAB2/RBM22"	13	5.72096281668488	"CC"
"GOCC_OLIGOSACCHARYLTRANSFERASE_COMPLEX"	"GOCC_OLIGOSACCHARYLTRANSFERASE_COMPLEX"	"OLIGOSACCHARYLTRANSFERASE_COMPLEX"	"9/1158"	"14/14332"	1.96408004502738e-07	2.91510827735643e-06	1.90967339558064e-06	"OSTC/DDOST/KRTCAP2/RPN2/DAD1/STT3A/MLEC/RPN1/STT3B"	9	5.71904090218987	"CC"
